Word,Positive,Negative
able,1,
abnormally,,1
abrupt,,1
absorb,1,
absorbed,1,
absorbing,1,
abundant,,1
acceptable,1,
achievement,1,
adequately,1,
adverse,,1
adversely,,1
aggravate,,1
aggravated,,1
aggravating,,1
aggravation,,1
ailing,,1
alarming,,1
alleviated,1,
alleviating,1,
anxiety,,1
arrears,,1
bad,,1
beneficial,1,
benefit,1,
benefiting,1,
benign,1,
better,1,
brighter,1,
broaden,1,
buoyancy,1,
burdened,,1
calm,1,
calmed,1,
calming,1,
challenge,,1
challenges,,1
challenging,,1
closure,,1
clouded,,1
comfortable,1,
compromised,,1
concern,,1
concerns,,1
confident,1,
confined,1,
confronted,,1
confronting,,1
constrain,,1
constrained,,1
constraining,,1
contagion,,1
contained,1,
contracted,,1
contracting,,1
contraction,,1
corrections,,1
costly,,1
damaging,,1
danger,,1
dangerous,,1
declines,,1
deep,,1
deeply,,1
defaults,,1
deficient,,1
deficits,,1
delays,,1
delinquencies,,1
dented,,1
depress,,1
depressed,,1
depressing,,1
destabilising,,1
destabilizing,,1
deteriorate,,1
deteriorated,,1
deteriorating,,1
deterioration,,1
deteriorations,,1
detrimental,,1
difficult,,1
difficulties,,1
difficulty,,1
disappointing,,1
discouraging,,1
disorderly,,1
disrupt,,1
disrupted,,1
disruption,,1
disruptions,,1
disruptive,,1
distortions,,1
distress,,1
distressed,,1
distrust,,1
disturbance,,1
disturbances,,1
doubts,,1
downgrade,,1
downgraded,,1
downgrades,,1
downgrading,,1
downside,,1
downswing,,1
downturn,,1
downward,,1
drag,,1
drastic,,1
dropped,,1
drying,,1
effective,1,
efficient,1,
enabled,1,
enabling,1,
endanger,,1
enhance,1,
enhanced,1,
enhancing,1,
enjoy,1,
erode,,1
eroded,,1
eroding,,1
erosion,,1
escalate,,1
escalated,,1
escalating,,1
escalation,,1
exacerbate,,1
exacerbated,,1
exacerbating,,1
excellent,1,
excessive,,1
exhausted,,1
expose,,1
exposed,,1
exposes,,1
exposing,,1
fail,,1
failed,,1
failing,,1
fails,,1
failure,,1
failures,,1
faltering,,1
favorable,1,
favorably,1,
favourable,1,
favourably,1,
fear,,1
fears,,1
forced,,1
fragile,,1
fragilities,,1
fragility,,1
gain,1,
gained,1,
gloomy,,1
good,1,
grew,1,
grow,1,
hamper,,1
hampered,,1
hampering,,1
headwinds,,1
healthy,1,
hinder,,1
hindered,,1
hindering,,1
hinders,,1
hurt,,1
illiquid,,1
illiquidity,,1
imbalance,,1
imbalances,,1
impair,,1
impaired,,1
impairing,,1
impairments,,1
impede,,1
impeded,,1
impediments,,1
improve,1,
improved,1,
improvement,1,
improvements,1,
improves,1,
improving,1,
inability,,1
inadequate,,1
ineffective,,1
inefficient,,1
insolvencies,,1
insolvency,,1
insolvent,,1
instability,,1
insufficient,,1
insufficiently,,1
jeopardise,,1
jeopardised,,1
jeopardising,,1
jeopardize,,1
lackluster,,1
lacklustre,,1
lagged,,1
lose,,1
losing,,1
losses,,1
lost,,1
misalignments,,1
misconduct,,1
mispricing,,1
mitigate,1,
mitigated,1,
mitigates,1,
mitigating,1,
mitigation,1,
negative,,1
negatively,,1
nervousness,,1
nonperforming,,1
opportunity,1,
optimism,1,
outperformed,1,
overcapacity,,1
overheated,,1
overheating,,1
overindebted,,1
overvalued,,1
pessimism,,1
pessimistic,,1
plummeted,,1
plummeting,,1
plunge,,1
plunged,,1
poor,,1
poorer,,1
poorly,,1
poses,,1
posing,,1
positive,1,
positively,1,
preventing,1,
problem,,1
problematic,,1
problems,,1
profitable,1,
prolonged,,1
protectionism,,1
protracted,,1
questions,,1
rallied,1,
reassuring,1,
rebound,1,
rebounded,1,
rebounding,1,
recession,,1
recouped,1,
recover,1,
recovered,1,
recovering,1,
recovery,1,
regained,1,
reopening,1,
repercussions,,1
resilient,1,
resolve,1,
restructure,,1
resurfaced,,1
riskier,,1
setback,,1
setbacks,,1
severely,,1
severity,,1
shaken,,1
sheltered,1,
shortage,,1
shortages,,1
shortfall,,1
shortfalls,,1
shrank,,1
shrink,,1
shrinking,,1
shrunk,,1
slid,,1
slide,,1
sliding,,1
slipped,,1
slowdown,,1
slowdowns,,1
sluggish,,1
sluggishness,,1
slump,,1
slumped,,1
slumps,,1
smooth,1,
smoothly,1,
solid,1,
sound,1,
sounder,1,
spill,,1
spilled,,1
spilling,,1
spillover,,1
spillovers,,1
spiral,,1
squeeze,,1
squeezed,,1
stabilise,1,
stabilised,1,
stabilising,1,
stabilize,1,
stabilized,1,
stabilizing,1,
stable,1,
stagnant,,1
stagnate,,1
stagnated,,1
stagnating,,1
stagnation,,1
strain,,1
strained,,1
strains,,1
strengthened,1,
stresses,,1
struggle,,1
struggling,,1
succeeded,1,
success,1,
successful,1,
successfully,1,
suffer,,1
suffered,,1
suffering,,1
susceptibility,,1
susceptible,,1
tense,,1
tension,,1
tepid,,1
threat,,1
threaten,,1
threatened,,1
threatening,,1
threats,,1
tough,,1
troubled,,1
tumbling,,1
turbulence,,1
turbulences,,1
turbulent,,1
turmoil,,1
unable,,1
undermine,,1
undermined,,1
undermining,,1
underperformance,,1
underperformed,,1
undesirable,,1
unease,,1
unemployed,,1
unexpectedly,,1
unfavorable,,1
unfavourable,,1
unresolved,,1
unrest,,1
unstable,,1
unsustainable,,1
upgraded,1,
upswing,1,
volatile,,1
volatility,,1
vulnerabilities,,1
vulnerability,,1
vulnerable,,1
weaken,,1
weakened,,1
weakening,,1
weaker,,1
weakest,,1
weakness,,1
weaknesses,,1
withstanding,1,
worries,,1
worrisome,,1
worrying,,1
worse,,1
worsen,,1
worsened,,1
worsening,,1
worst,,1
writedowns,,1
